Surface-Form,Link,Part-of-Speech
81003101,https://en.wikipedia.org/wiki/81003101,CD
Stages to Saturn: A Technological History of the Apollo/Saturn Launch Vehicles,https://en.wikipedia.org/wiki/Stages_to_Saturn:_A_Technological_History_of_the_Apollo/Saturn_Launch_Vehicles,NNS TO VB : DT JJ NN IN DT NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
97149850,https://en.wikipedia.org/wiki/97149850,CD
"Chaikin, Andrew","https://en.wikipedia.org/wiki/Chaikin,_Andrew","NNP , NNP"
A Man on the Moon,https://en.wikipedia.org/wiki/A_Man_on_the_Moon,DT NN IN DT NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
93048680,https://en.wikipedia.org/wiki/93048680,CD
Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
"Clarke, Arthur C.","https://en.wikipedia.org/wiki/Clarke,_Arthur_C.","NNP , NNP NNP ."
New American Library,https://en.wikipedia.org/wiki/New_American_Library,NNP NNP NNP
2001: A Space Odyssey,https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey,CD : DT NNP NNP
Roc Books,https://en.wikipedia.org/wiki/Roc_Books,NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
"Collins, Michael","https://en.wikipedia.org/wiki/Collins,_Michael","NNS , NNP"
"Farrar, Straus and Giroux","https://en.wikipedia.org/wiki/Farrar,_Straus_and_Giroux","NNP , NNP CC NNP"
Charles Lindbergh,https://en.wikipedia.org/wiki/Charles_Lindbergh,NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
2001017080,https://en.wikipedia.org/wiki/2001017080,CD
New York University Press,https://en.wikipedia.org/wiki/New_York_University_Press,NNP NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
2006016116,https://en.wikipedia.org/wiki/2006016116,CD
James A. Michener,https://en.wikipedia.org/wiki/James_A._Michener,NNP NN NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
85222271,https://en.wikipedia.org/wiki/85222271,CD
"Lovell, Jim","https://en.wikipedia.org/wiki/Lovell,_Jim","NNP , NNP"
"Kluger, Jeffery","https://en.wikipedia.org/wiki/Kluger,_Jeffery","NNP , NNP"
Lost Moon,https://en.wikipedia.org/wiki/Lost_Moon,VBN NNP
Houghton Mifflin,https://en.wikipedia.org/wiki/Houghton_Mifflin,NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
94028052,https://en.wikipedia.org/wiki/94028052,CD
"Murray, Charles","https://en.wikipedia.org/wiki/Murray,_Charles","NNP , NNP"
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
"Poole, Robert K.","https://en.wikipedia.org/wiki/Poole,_Robert_K.","NNP , NNP NNP ."
Yale University Press,https://en.wikipedia.org/wiki/Yale_University_Press,NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
2008026764,https://en.wikipedia.org/wiki/2008026764,CD
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
98054430,https://en.wikipedia.org/wiki/98054430,CD
"Wilford, John Noble","https://en.wikipedia.org/wiki/Wilford,_John_Noble","NNP , NNP NNP"
Putnam Publishing Group,https://en.wikipedia.org/wiki/Putnam_Publishing_Group,NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Springer,https://en.wikipedia.org/wiki/Springer,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
2007932412,https://en.wikipedia.org/wiki/2007932412,CD
Four Walls Eight Windows,https://en.wikipedia.org/wiki/Four_Walls_Eight_Windows,CD NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
98029963,https://en.wikipedia.org/wiki/98029963,CD
External links,https://en.wikipedia.org/wiki/External_links,JJ NNS
\,https://en.wikipedia.org/wiki/\,NN
\,https://en.wikipedia.org/wiki/\,NN
American Institute of Aeronautics and Astronautics,https://en.wikipedia.org/wiki/American_Institute_of_Aeronautics_and_Astronautics,NNP NNP IN NNP CC NNS
Apollo 8 Press Kit,https://en.wikipedia.org/wiki/Apollo_8_Press_Kit,NNP CD NNP NNP
\,https://en.wikipedia.org/wiki/\,NN
Apollo 8: Go for TLI,https://en.wikipedia.org/wiki/Apollo_8:_Go_for_TLI,$ CD : VB IN NNP
Internet Archive,https://en.wikipedia.org/wiki/Internet_Archive,NNP NNP
\,https://en.wikipedia.org/wiki/\,NN
Debrief: Apollo 8,https://en.wikipedia.org/wiki/Debrief:_Apollo_8,NN : $ CD
Apollo Atmospheric Entry Phase,https://en.wikipedia.org/wiki/Apollo_Atmospheric_Entry_Phase,NNP NNP NNP NNP
\,https://en.wikipedia.org/wiki/\,NN
Apollo launch and mission videos,https://en.wikipedia.org/wiki/Apollo_launch_and_mission_videos,NNP NN CC NN NNS
\,https://en.wikipedia.org/wiki/\,NN
Recovery - 23min video,https://en.wikipedia.org/wiki/Recovery_-_23min_video,NNP : CD NN
public domain material,https://en.wikipedia.org/wiki/public_domain_material,JJ VBP NN
National Aeronautics and Space Administration,https://en.wikipedia.org/wiki/National_Aeronautics_and_Space_Administration,NNP NNP CC NNP NNP
Attic,https://en.wikipedia.org/wiki/Attic,JJ
Ionic,https://en.wikipedia.org/wiki/Ionic,JJ
Homeric Greek,https://en.wikipedia.org/wiki/Homeric_Greek,NNP NNP
GEN,https://en.wikipedia.org/wiki/GEN,NN
Doric,https://en.wikipedia.org/wiki/Doric,NN
Arcadocypriot,https://en.wikipedia.org/wiki/Arcadocypriot,NN
Aeolic,https://en.wikipedia.org/wiki/Aeolic,JJ
Latin,https://en.wikipedia.org/wiki/Latin,NN
Olympian deities,https://en.wikipedia.org/wiki/Olympian_deities,JJ NNS
classical Greek,https://en.wikipedia.org/wiki/classical_Greek,JJ NN
Roman religion,https://en.wikipedia.org/wiki/Roman_religion,NNP NN
Greek,https://en.wikipedia.org/wiki/Greek,JJ
Roman mythology,https://en.wikipedia.org/wiki/Roman_mythology,NNP NN
kouros,https://en.wikipedia.org/wiki/kouros,NNS
Zeus,https://en.wikipedia.org/wiki/Zeus,NN
Leto,https://en.wikipedia.org/wiki/Leto,NN
Artemis,https://en.wikipedia.org/wiki/Artemis,NNP
Etruscan mythology,https://en.wikipedia.org/wiki/Etruscan_mythology,JJ NN
Delphi,https://en.wikipedia.org/wiki/Delphi,NN
oracular,https://en.wikipedia.org/wiki/oracular,NN
Delphic Oracle,https://en.wikipedia.org/wiki/Delphic_Oracle,JJ NNP
Asclepius,https://en.wikipedia.org/wiki/Asclepius,NN
plague,https://en.wikipedia.org/wiki/plague,NN
colonists,https://en.wikipedia.org/wiki/colonists,NNS
Muses,https://en.wikipedia.org/wiki/Muses,NNS
Hermes,https://en.wikipedia.org/wiki/Hermes,NNS
lyre,https://en.wikipedia.org/wiki/lyre,NN
attribute of Apollo,https://en.wikipedia.org/wiki/attribute_of_Apollo,NN IN NNP
paeans,https://en.wikipedia.org/wiki/paeans,NNS
Helios,https://en.wikipedia.org/wiki/Helios,NNS
Titan,https://en.wikipedia.org/wiki/Titan,NN
god of the sun,https://en.wikipedia.org/wiki/god_of_the_sun,NN IN DT NN
Selene,https://en.wikipedia.org/wiki/Selene,NN
goddess of the moon,https://en.wikipedia.org/wiki/goddess_of_the_moon,NN IN DT NN
Joseph Fontenrose,https://en.wikipedia.org/wiki/Joseph_Fontenrose,NNP NNP
Sol,https://en.wikipedia.org/wiki/Sol,NN
Augustan poets,https://en.wikipedia.org/wiki/Augustan_poets,NNP NNS
Aeneas,https://en.wikipedia.org/wiki/Aeneas,NNS
Latinus,https://en.wikipedia.org/wiki/Latinus,NN
Aeneid,https://en.wikipedia.org/wiki/Aeneid,NN
Etymology,https://en.wikipedia.org/wiki/Etymology,NN
god,https://en.wikipedia.org/wiki/god,NN
Linear B,https://en.wikipedia.org/wiki/Linear_B,JJ NNP
Mycenean Greek,https://en.wikipedia.org/wiki/Mycenean_Greek,JJ NN
lacunose,https://en.wikipedia.org/wiki/lacunose,NN
KN,https://en.wikipedia.org/wiki/KN,NNP
Classical Attic,https://en.wikipedia.org/wiki/Classical_Attic,JJ NNP
Doric,https://en.wikipedia.org/wiki/Doric,NN
apellaia,https://en.wikipedia.org/wiki/apellaia,NN
apellai,https://en.wikipedia.org/wiki/apellai,NN
Apella,https://en.wikipedia.org/wiki/Apella,NN
ecclesia,https://en.wikipedia.org/wiki/ecclesia,NN
R. S. P. Beekes,https://en.wikipedia.org/wiki/R._S._P._Beekes,NNP NNP NNP NNP
Pre-Greek,https://en.wikipedia.org/wiki/Pre-Greek,JJ
popular etymology,https://en.wikipedia.org/wiki/popular_etymology,JJ NN
Plato,https://en.wikipedia.org/wiki/Plato,NN
Cratylus,https://en.wikipedia.org/wiki/Cratylus,NN
Hesychius,https://en.wikipedia.org/wiki/Hesychius,NN
Ancient Macedonian language,https://en.wikipedia.org/wiki/Ancient_Macedonian_language,NNP JJ NN
toponyms,https://en.wikipedia.org/wiki/toponyms,NN
Pella,https://en.wikipedia.org/wiki/Pella,NN
Ancient Macedonia,https://en.wikipedia.org/wiki/Ancient_Macedonia,NNP NNP
Pallene,https://en.wikipedia.org/wiki/Pallene,NN
Hittite,https://en.wikipedia.org/wiki/Hittite,NNP
Apaliunas,https://en.wikipedia.org/wiki/Apaliunas,NNS
Manapa-Tarhunta letter,https://en.wikipedia.org/wiki/Manapa-Tarhunta_letter,JJ NN
Hurrian,https://en.wikipedia.org/wiki/Hurrian,JJ
Etruscan,https://en.wikipedia.org/wiki/Etruscan,JJ
Aplu,https://en.wikipedia.org/wiki/Aplu,NN
Akkadian,https://en.wikipedia.org/wiki/Akkadian,JJ
Enlil,https://en.wikipedia.org/wiki/Enlil,NN
Nergal,https://en.wikipedia.org/wiki/Nergal,NN
Shamash,https://en.wikipedia.org/wiki/Shamash,NN
Apollo Smintheus,https://en.wikipedia.org/wiki/Apollo_Smintheus,NNP NNP
apotropaic,https://en.wikipedia.org/wiki/apotropaic,NN
Hittite,https://en.wikipedia.org/wiki/Hittite,NNP
Luwian,https://en.wikipedia.org/wiki/Luwian,JJ
Greco-Roman epithets,https://en.wikipedia.org/wiki/Greco-Roman_epithets,JJ NNS
epithets,https://en.wikipedia.org/wiki/epithets,NNS
Latin literature,https://en.wikipedia.org/wiki/Latin_literature,JJ NN
Helios,https://en.wikipedia.org/wiki/Helios,NNS
Lyceus,https://en.wikipedia.org/wiki/Lyceus,NN
Proto-Greek,https://en.wikipedia.org/wiki/Proto-Greek,JJ
Leto,https://en.wikipedia.org/wiki/Leto,NN
Lycia,https://en.wikipedia.org/wiki/Lycia,NN
Sol,https://en.wikipedia.org/wiki/Sol,NN
Mount Cynthus,https://en.wikipedia.org/wiki/Mount_Cynthus,NNP NNP
Delos,https://en.wikipedia.org/wiki/Delos,NN
Artemis,https://en.wikipedia.org/wiki/Artemis,NNP
Actium,https://en.wikipedia.org/wiki/Actium,NN
Delphi,https://en.wikipedia.org/wiki/Delphi,NN
etiology,https://en.wikipedia.org/wiki/etiology,NN
Homeric hymns,https://en.wikipedia.org/wiki/Homeric_hymns,NNP NN
Boeotian,https://en.wikipedia.org/wiki/Boeotian,JJ
Acraephia,https://en.wikipedia.org/wiki/Acraephia,NN
Acraepheus,https://en.wikipedia.org/wiki/Acraepheus,NN
Smintheus,https://en.wikipedia.org/wiki/Smintheus,NN
Troad,https://en.wikipedia.org/wiki/Troad,NN
Hamaxitus,https://en.wikipedia.org/wiki/Hamaxitus,NN
Acestor,https://en.wikipedia.org/wiki/Acestor,NN
Paean,https://en.wikipedia.org/wiki/Paean,NN
Elis,https://en.wikipedia.org/wiki/Elis,NNS
agora,https://en.wikipedia.org/wiki/agora,NNS
temple,https://en.wikipedia.org/wiki/temple,NN
Bellona,https://en.wikipedia.org/wiki/Bellona,NNP
Alexicacus,https://en.wikipedia.org/wiki/Alexicacus,NN
Doric,https://en.wikipedia.org/wiki/Doric,NN
Agyieus,https://en.wikipedia.org/wiki/Agyieus,NN
Doric,https://en.wikipedia.org/wiki/Doric,NN
Muse,https://en.wikipedia.org/wiki/Muse,NN
Amphion,https://en.wikipedia.org/wiki/Amphion,NN
Niobe,https://en.wikipedia.org/wiki/Niobe,NN
Celtic epithets and cult titles,https://en.wikipedia.org/wiki/Celtic_epithets_and_cult_titles,JJ NNS CC NN NNS
Roman Empire,https://en.wikipedia.org/wiki/Roman_Empire,NNP NNP
Celtic,https://en.wikipedia.org/wiki/Celtic,JJ
Celtic gods,https://en.wikipedia.org/wiki/Celtic_gods,JJ NNS
Apollo Atepomarus,https://en.wikipedia.org/wiki/Apollo_Atepomarus,NNP NNP
Mauvières,https://en.wikipedia.org/wiki/Mauvières,NNS
Indre,https://en.wikipedia.org/wiki/Indre,NN
Apollo Belenus,https://en.wikipedia.org/wiki/Apollo_Belenus,NNP NNP
Gaul,https://en.wikipedia.org/wiki/Gaul,NN
Noricum,https://en.wikipedia.org/wiki/Noricum,NN
Apollo Cunomaglus,https://en.wikipedia.org/wiki/Apollo_Cunomaglus,NNP NNP
Nettleton Shrub,https://en.wikipedia.org/wiki/Nettleton_Shrub,NNP NNP
Wiltshire,https://en.wikipedia.org/wiki/Wiltshire,NN
Apollo Grannus,https://en.wikipedia.org/wiki/Apollo_Grannus,NNP NNP
Maponus,https://en.wikipedia.org/wiki/Maponus,NN
Apollo Moritasgus,https://en.wikipedia.org/wiki/Apollo_Moritasgus,NNP NNP
Apollo Vindonnus,https://en.wikipedia.org/wiki/Apollo_Vindonnus,NNP NNP
Essarois,https://en.wikipedia.org/wiki/Essarois,NN
Châtillon-sur-Seine,https://en.wikipedia.org/wiki/Châtillon-sur-Seine,NN
Burgundy,https://en.wikipedia.org/wiki/Burgundy,NNP
Apollo Virotutis,https://en.wikipedia.org/wiki/Apollo_Virotutis,NNP NNP
Haute-Savoie,https://en.wikipedia.org/wiki/Haute-Savoie,NN
Jublains,https://en.wikipedia.org/wiki/Jublains,NNS
Maine-et-Loire,https://en.wikipedia.org/wiki/Maine-et-Loire,NN
Origins,https://en.wikipedia.org/wiki/Origins,NNS
Delphi,https://en.wikipedia.org/wiki/Delphi,NN
Delos,https://en.wikipedia.org/wiki/Delos,NN
Artemis,https://en.wikipedia.org/wiki/Artemis,NNP
Pytho,https://en.wikipedia.org/wiki/Pytho,NN
archaic Greece,https://en.wikipedia.org/wiki/archaic_Greece,JJ NNP
prophet,https://en.wikipedia.org/wiki/prophet,NN
classical Greece,https://en.wikipedia.org/wiki/classical_Greece,JJ NNP
Walter Burkert,https://en.wikipedia.org/wiki/Walter_Burkert,NNP NNP
omina,https://en.wikipedia.org/wiki/omina,NN
omens,https://en.wikipedia.org/wiki/omens,NNS
Anatolia,https://en.wikipedia.org/wiki/Anatolia,NNS
ritualism,https://en.wikipedia.org/wiki/ritualism,NN
legalism,https://en.wikipedia.org/wiki/legalism,NN
Anatolian,https://en.wikipedia.org/wiki/Anatolian,JJ
Greek people,https://en.wikipedia.org/wiki/Greek_people,JJ NNS
Healer and god-protector from evil,https://en.wikipedia.org/wiki/Healer_and_god-protector_from_evil,NNP CC NN IN NN
Paean,https://en.wikipedia.org/wiki/Paean,NN
Iliad,https://en.wikipedia.org/wiki/Iliad,NN
Mycenean,https://en.wikipedia.org/wiki/Mycenean,NN
Vedic,https://en.wikipedia.org/wiki/Vedic,NNS
Rudra,https://en.wikipedia.org/wiki/Rudra,NN
Achaeans,https://en.wikipedia.org/wiki/Achaeans,NNS
hecatomb,https://en.wikipedia.org/wiki/hecatomb,NN
v.,https://en.wikipedia.org/wiki/v.,NN .
n.,https://en.wikipedia.org/wiki/n.,NN .
healing,https://en.wikipedia.org/wiki/healing,VBG
apotropaic,https://en.wikipedia.org/wiki/apotropaic,NN
Dionysus,https://en.wikipedia.org/wiki/Dionysus,NN
Helios,https://en.wikipedia.org/wiki/Helios,NNS
Asclepius,https://en.wikipedia.org/wiki/Asclepius,NN
Python,https://en.wikipedia.org/wiki/Python,NN
Roman,https://en.wikipedia.org/wiki/Roman,NN
Dorian origin,https://en.wikipedia.org/wiki/Dorian_origin,JJ NN
apellai,https://en.wikipedia.org/wiki/apellai,NN
Ancient Macedonian,https://en.wikipedia.org/wiki/Ancient_Macedonian,NNP NNP
Pella,https://en.wikipedia.org/wiki/Pella,NN
Omphalos,https://en.wikipedia.org/wiki/Omphalos,NN
Mycenaean civilization,https://en.wikipedia.org/wiki/Mycenaean_civilization,JJ NN
Gaia,https://en.wikipedia.org/wiki/Gaia,NNP
Python,https://en.wikipedia.org/wiki/Python,NN
Delphyne,https://en.wikipedia.org/wiki/Delphyne,NN
Typhon,https://en.wikipedia.org/wiki/Typhon,NN
Zeus,https://en.wikipedia.org/wiki/Zeus,NN
Titanomachy,https://en.wikipedia.org/wiki/Titanomachy,NN
Python,https://en.wikipedia.org/wiki/Python,NN
Minoan,https://en.wikipedia.org/wiki/Minoan,NN
Artemis,https://en.wikipedia.org/wiki/Artemis,NNP
Germanic,https://en.wikipedia.org/wiki/Germanic,JJ
Norse mythology,https://en.wikipedia.org/wiki/Norse_mythology,NNP NN
Greek mythology,https://en.wikipedia.org/wiki/Greek_mythology,JJ NN
nymphs,https://en.wikipedia.org/wiki/nymphs,NN
Nordic,https://en.wikipedia.org/wiki/Nordic,NN
Elves,https://en.wikipedia.org/wiki/Elves,NNS
arrow,https://en.wikipedia.org/wiki/arrow,NN
Vedic,https://en.wikipedia.org/wiki/Vedic,NNS
Shiva,https://en.wikipedia.org/wiki/Shiva,NN
Indo-European,https://en.wikipedia.org/wiki/Indo-European,JJ
Minoan origin,https://en.wikipedia.org/wiki/Minoan_origin,NNP NN
Mycenaean,https://en.wikipedia.org/wiki/Mycenaean,NN
Labryaden,https://en.wikipedia.org/wiki/Labryaden,NNP
Minoan,https://en.wikipedia.org/wiki/Minoan,NN
labrys,https://en.wikipedia.org/wiki/labrys,NN
Cretan,https://en.wikipedia.org/wiki/Cretan,NN
labyrinth,https://en.wikipedia.org/wiki/labyrinth,NN
Delphyne,https://en.wikipedia.org/wiki/Delphyne,NN
Artemis,https://en.wikipedia.org/wiki/Artemis,NNP
Britomartis,https://en.wikipedia.org/wiki/Britomartis,NN
Diktynna,https://en.wikipedia.org/wiki/Diktynna,NN
Minoan,https://en.wikipedia.org/wiki/Minoan,NN
Sibyl,https://en.wikipedia.org/wiki/Sibyl,NN
Anatolian,https://en.wikipedia.org/wiki/Anatolian,JJ
Plato,https://en.wikipedia.org/wiki/Plato,NN
Dodona,https://en.wikipedia.org/wiki/Dodona,NN
Near East,https://en.wikipedia.org/wiki/Near_East,IN NNP
Mari,https://en.wikipedia.org/wiki/Mari,NN
Anatolia,https://en.wikipedia.org/wiki/Anatolia,NNS
Anatolian origin,https://en.wikipedia.org/wiki/Anatolian_origin,JJ NN
Leto,https://en.wikipedia.org/wiki/Leto,NN
Lydian,https://en.wikipedia.org/wiki/Lydian,JJ
Asia Minor,https://en.wikipedia.org/wiki/Asia_Minor,NNP NNP
Anatolia,https://en.wikipedia.org/wiki/Anatolia,NNS
Sibyl,https://en.wikipedia.org/wiki/Sibyl,NN
Assyro,https://en.wikipedia.org/wiki/Assyro,NN
Babylonian,https://en.wikipedia.org/wiki/Babylonian,JJ
Hittites,https://en.wikipedia.org/wiki/Hittites,NNS
Plutarch,https://en.wikipedia.org/wiki/Plutarch,NN
Cretan,https://en.wikipedia.org/wiki/Cretan,NN
seer,https://en.wikipedia.org/wiki/seer,NN
Epimenides,https://en.wikipedia.org/wiki/Epimenides,NNS
Athens,https://en.wikipedia.org/wiki/Athens,NNS
Alcmeonidae,https://en.wikipedia.org/wiki/Alcmeonidae,NN
sacrifices,https://en.wikipedia.org/wiki/sacrifices,NNS
Solon,https://en.wikipedia.org/wiki/Solon,NN
Homeric,https://en.wikipedia.org/wiki/Homeric,NNP
Anatolia,https://en.wikipedia.org/wiki/Anatolia,NNS
Homer,https://en.wikipedia.org/wiki/Homer,NN
Trojans,https://en.wikipedia.org/wiki/Trojans,NNS
Achaeans,https://en.wikipedia.org/wiki/Achaeans,NNS
Trojan War,https://en.wikipedia.org/wiki/Trojan_War,NNP NNP
Wilusa,https://en.wikipedia.org/wiki/Wilusa,NN
Troy,https://en.wikipedia.org/wiki/Troy,NN
Homeric,https://en.wikipedia.org/wiki/Homeric,NNP
agyieus,https://en.wikipedia.org/wiki/agyieus,NN
full moon,https://en.wikipedia.org/wiki/full_moon,JJ NN
Babylonian,https://en.wikipedia.org/wiki/Babylonian,JJ
Late Bronze Age,https://en.wikipedia.org/wiki/Late_Bronze_Age,JJ NNP NNP
Hittite,https://en.wikipedia.org/wiki/Hittite,NNP
Hurrian,https://en.wikipedia.org/wiki/Hurrian,JJ
plague,https://en.wikipedia.org/wiki/plague,NN
apotropaic,https://en.wikipedia.org/wiki/apotropaic,NN
Nergal,https://en.wikipedia.org/wiki/Nergal,NN
Shamash,https://en.wikipedia.org/wiki/Shamash,NN
Iliad,https://en.wikipedia.org/wiki/Iliad,NN
Paean,https://en.wikipedia.org/wiki/Paean,NN
Oracular cult,https://en.wikipedia.org/wiki/Oracular_cult,JJ NN
Delos,https://en.wikipedia.org/wiki/Delos,NN
Delphi,https://en.wikipedia.org/wiki/Delphi,NN
Delian Apollo,https://en.wikipedia.org/wiki/Delian_Apollo,JJ NNP
Pythian Apollo,https://en.wikipedia.org/wiki/Pythian_Apollo,JJ NNP
cult,https://en.wikipedia.org/wiki/cult,NN
archaic period,https://en.wikipedia.org/wiki/archaic_period,JJ NN
theophoric names,https://en.wikipedia.org/wiki/theophoric_names,JJ NNS
Didyma,https://en.wikipedia.org/wiki/Didyma,NN
Clarus,https://en.wikipedia.org/wiki/Clarus,NN
"all-encompassing, highest deity","https://en.wikipedia.org/wiki/all-encompassing,_highest_deity","NN , JJS NN"
Julian the Apostate,https://en.wikipedia.org/wiki/Julian_the_Apostate,JJ DT NNP
Oracular shrines,https://en.wikipedia.org/wiki/Oracular_shrines,JJ NNS
oracle,https://en.wikipedia.org/wiki/oracle,NN
Clarus,https://en.wikipedia.org/wiki/Clarus,NN
Branchidae,https://en.wikipedia.org/wiki/Branchidae,NN
Abae,https://en.wikipedia.org/wiki/Abae,NN
Phocis,https://en.wikipedia.org/wiki/Phocis,NN
toponymic,https://en.wikipedia.org/wiki/toponymic,JJ
Abaeus,https://en.wikipedia.org/wiki/Abaeus,NN
Croesus,https://en.wikipedia.org/wiki/Croesus,NN
Abae,https://en.wikipedia.org/wiki/Abae,NN
Phocis,https://en.wikipedia.org/wiki/Phocis,NN
Bassae,https://en.wikipedia.org/wiki/Bassae,NN
Peloponnese,https://en.wikipedia.org/wiki/Peloponnese,JJ
Clarus,https://en.wikipedia.org/wiki/Clarus,NN
Asia Minor,https://en.wikipedia.org/wiki/Asia_Minor,NNP NNP
Corinth,https://en.wikipedia.org/wiki/Corinth,NN
Tenea,https://en.wikipedia.org/wiki/Tenea,NN
Khyrse,https://en.wikipedia.org/wiki/Khyrse,VB
Troad,https://en.wikipedia.org/wiki/Troad,NN
Delos,https://en.wikipedia.org/wiki/Delos,NN
Delphi,https://en.wikipedia.org/wiki/Delphi,NN
Pythia,https://en.wikipedia.org/wiki/Pythia,NN
pneuma,https://en.wikipedia.org/wiki/pneuma,NN
Adyton,https://en.wikipedia.org/wiki/Adyton,NNP
Didyma,https://en.wikipedia.org/wiki/Didyma,NN
Anatolia,https://en.wikipedia.org/wiki/Anatolia,NNS
Lydian,https://en.wikipedia.org/wiki/Lydian,JJ
Luwian,https://en.wikipedia.org/wiki/Luwian,JJ
Sardis,https://en.wikipedia.org/wiki/Sardis,NN
Branchus,https://en.wikipedia.org/wiki/Branchus,NNS
Hierapolis Bambyce,https://en.wikipedia.org/wiki/Hierapolis_Bambyce,NNP NNP
De Dea Syria,https://en.wikipedia.org/wiki/De_Dea_Syria,NNP NNP NNP
Syrian Goddess,https://en.wikipedia.org/wiki/Syrian_Goddess,JJ NNP
Patara,https://en.wikipedia.org/wiki/Patara,NN
Lycia,https://en.wikipedia.org/wiki/Lycia,NN
Segesta,https://en.wikipedia.org/wiki/Segesta,NN
Oropus,https://en.wikipedia.org/wiki/Oropus,NN
Athens,https://en.wikipedia.org/wiki/Athens,NNS
Amphiaraus,https://en.wikipedia.org/wiki/Amphiaraus,NN
Trophonius,https://en.wikipedia.org/wiki/Trophonius,NN
Temples of Apollo,https://en.wikipedia.org/wiki/Temples_of_Apollo,NNS IN NNP
Crete,https://en.wikipedia.org/wiki/Crete,NNP
Doric order,https://en.wikipedia.org/wiki/Doric_order,JJ NN
Pythagoras,https://en.wikipedia.org/wiki/Pythagoras,NNS
Doric order,https://en.wikipedia.org/wiki/Doric_order,JJ NN
Ionic order,https://en.wikipedia.org/wiki/Ionic_order,JJ NN
Corinthian order,https://en.wikipedia.org/wiki/Corinthian_order,JJ NN
Greek temples,https://en.wikipedia.org/wiki/Greek_temples,JJ NNS
"Thebes, Greece","https://en.wikipedia.org/wiki/Thebes,_Greece","NNP , NNP"
Doric,https://en.wikipedia.org/wiki/Doric,NN
Daphnephoria,https://en.wikipedia.org/wiki/Daphnephoria,NNS
Eretria,https://en.wikipedia.org/wiki/Eretria,NNS
stylobate,https://en.wikipedia.org/wiki/stylobate,NN
pteron,https://en.wikipedia.org/wiki/pteron,NN
Dreros,https://en.wikipedia.org/wiki/Dreros,NNS
Crete,https://en.wikipedia.org/wiki/Crete,NNP
Delphi,https://en.wikipedia.org/wiki/Delphi,NN
Minoan,https://en.wikipedia.org/wiki/Minoan,NN
Doric,https://en.wikipedia.org/wiki/Doric,NN
Gortyn,https://en.wikipedia.org/wiki/Gortyn,NN
Crete,https://en.wikipedia.org/wiki/Crete,NNP
Thermon,https://en.wikipedia.org/wiki/Thermon,NN
West Greece,https://en.wikipedia.org/wiki/West_Greece,NNP NNP
Doric,https://en.wikipedia.org/wiki/Doric,NN
peristyle,https://en.wikipedia.org/wiki/peristyle,NN
Lesbos,https://en.wikipedia.org/wiki/Lesbos,NNS
Aeolic,https://en.wikipedia.org/wiki/Aeolic,JJ
Aeolic,https://en.wikipedia.org/wiki/Aeolic,JJ
"Cyrene, Libya","https://en.wikipedia.org/wiki/Cyrene,_Libya","NNP , NNP"
Doric,https://en.wikipedia.org/wiki/Doric,NN
Naukratis,https://en.wikipedia.org/wiki/Naukratis,NN
Ionic,https://en.wikipedia.org/wiki/Ionic,JJ
Ionic order,https://en.wikipedia.org/wiki/Ionic_order,JJ NN
Corinth,https://en.wikipedia.org/wiki/Corinth,NN
Doric,https://en.wikipedia.org/wiki/Doric,NN
stylobate,https://en.wikipedia.org/wiki/stylobate,NN
Delphi,https://en.wikipedia.org/wiki/Delphi,NN
Doric order,https://en.wikipedia.org/wiki/Doric_order,JJ NN
"Syracuse, Sicily","https://en.wikipedia.org/wiki/Syracuse,_Sicily","NNP , NNP"
Doric,https://en.wikipedia.org/wiki/Doric,NN
stylobate,https://en.wikipedia.org/wiki/stylobate,NN
Selinus,https://en.wikipedia.org/wiki/Selinus,NN
Sicily,https://en.wikipedia.org/wiki/Sicily,RB
Doric,https://en.wikipedia.org/wiki/Doric,NN
