Surface-Form,Link,Part-of-Speech
Friendly Enemies,https://en.wikipedia.org/wiki/Friendly_Enemies,JJ NNS
Around the World,https://en.wikipedia.org/wiki/Around_the_World,IN DT NNP
Up in Mabel's Room,https://en.wikipedia.org/wiki/Up_in_Mabel's_Room,RB IN NNP POS NN
Abroad with Two Yanks,https://en.wikipedia.org/wiki/Abroad_with_Two_Yanks,RB IN CD NNS
Getting Gertie's Garter,https://en.wikipedia.org/wiki/Getting_Gertie's_Garter,VBG NNP POS NNP
Brewster's Millions,https://en.wikipedia.org/wiki/Brewster's_Millions,NNP POS NNS
Rendezvous with Annie,https://en.wikipedia.org/wiki/Rendezvous_with_Annie,JJ IN NNP
 Driftwood,https://en.wikipedia.org/wiki/_Driftwood,NN
Calendar Girl,https://en.wikipedia.org/wiki/Calendar_Girl,NNP NNP
Northwest Outpost,https://en.wikipedia.org/wiki/Northwest_Outpost,NNP NN
The Inside Story,https://en.wikipedia.org/wiki/The_Inside_Story,DT NNP NNP
Angel in Exile,https://en.wikipedia.org/wiki/Angel_in_Exile,NNP IN NNP
Philip Ford,https://en.wikipedia.org/wiki/Philip_Ford,NNP NNP
Sands of Iwo Jima,https://en.wikipedia.org/wiki/Sands_of_Iwo_Jima,NNS IN NNP NNP
Surrender,https://en.wikipedia.org/wiki/Surrender,NN
Belle Le Grand,https://en.wikipedia.org/wiki/Belle_Le_Grand,NNP NNP NNP
Wild Blue Yonder,https://en.wikipedia.org/wiki/Wild_Blue_Yonder,NNP NNP NNP
I Dream of Jeanie,https://en.wikipedia.org/wiki/I_Dream_of_Jeanie,PRP NNP IN NNP
Montana Belle,https://en.wikipedia.org/wiki/Montana_Belle,NNP NNP
Woman They Almost Lynched,https://en.wikipedia.org/wiki/Woman_They_Almost_Lynched,NNP PRP VBP VBN
Sweethearts on Parade,https://en.wikipedia.org/wiki/Sweethearts_on_Parade,NNS IN NN
Silver Lode,https://en.wikipedia.org/wiki/Silver_Lode,NNP NNP
